Primary_Level_Key,Employment_Level_1_Title,Employment_Level_2_Title,Secondary_Level_Key,Employment_Title,Employment_Code,Employment_Type,Employment_Code_0,Employment_Code_1
47-0000,Construction and extraction occupations,Other construction and related workers,47-4000,Construction and building inspectors,47-4011,Line item,47,4011
47-0000,Construction and extraction occupations,Other construction and related workers,47-4000,Elevator and escalator installers and repairers,47-4021,Line item,47,4021
47-0000,Construction and extraction occupations,Other construction and related workers,47-4000,Fence erectors,47-4031,Line item,47,4031
47-0000,Construction and extraction occupations,Other construction and related workers,47-4000,Hazardous materials removal workers,47-4041,Line item,47,4041
47-0000,Construction and extraction occupations,Other construction and related workers,47-4000,Highway maintenance workers,47-4051,Line item,47,4051
47-0000,Construction and extraction occupations,Other construction and related workers,47-4000,Rail-track laying and maintenance equipment operators,47-4061,Line item,47,4061
47-0000,Construction and extraction occupations,Other construction and related workers,47-4000,Septic tank servicers and sewer pipe cleaners,47-4071,Line item,47,4071
47-0000,Construction and extraction occupations,Other construction and related workers,47-4000,Miscellaneous construction and related workers,47-4090,Line item,47,4090
47-0000,Construction and extraction occupations,Extraction workers,47-5000,"Derrick, rotary drill, and service unit operators, oil and gas",47-5010,Summary,47,5010
47-0000,Construction and extraction occupations,Extraction workers,47-5000,"Derrick operators, oil and gas",47-5011,Line item,47,5011
47-0000,Construction and extraction occupations,Extraction workers,47-5000,"Rotary drill operators, oil and gas",47-5012,Line item,47,5012
47-0000,Construction and extraction occupations,Extraction workers,47-5000,"Service unit operators, oil and gas",47-5013,Line item,47,5013
47-0000,Construction and extraction occupations,Extraction workers,47-5000,"Excavating and loading machine and dragline operators, surface mining",47-5022,Line item,47,5022
47-0000,Construction and extraction occupations,Extraction workers,47-5000,Continuous mining machine operators,47-5041,Line item,47,5041
47-0000,Construction and extraction occupations,Extraction workers,47-5000,"Roof bolters, mining",47-5043,Line item,47,5043
47-0000,Construction and extraction occupations,Extraction workers,47-5000,"Loading and moving machine operators, underground mining",47-5044,Line item,47,5044
47-0000,Construction and extraction occupations,Extraction workers,47-5000,"Rock splitters, quarry",47-5051,Line item,47,5051
47-0000,Construction and extraction occupations,Extraction workers,47-5000,"Roustabouts, oil and gas",47-5071,Line item,47,5071
47-0000,Construction and extraction occupations,Extraction workers,47-5000,Helpers--extraction workers,47-5081,Line item,47,5081
47-0000,Construction and extraction occupations,Extraction workers,47-5000,"Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters",47-5097,Line item,47,5097
47-0000,Construction and extraction occupations,Extraction workers,47-5000,"Underground mining machine operators and extraction workers, all other",47-5098,Line item,47,5098
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Boilermakers,47-2011,Line item,47,2011
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,"Brickmasons, blockmasons, and stonemasons",47-2020,Summary,47,2020
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Brickmasons and blockmasons,47-2021,Line item,47,2021
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Stonemasons,47-2022,Line item,47,2022
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Carpenters,47-2031,Line item,47,2031
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,"Carpet, floor, and tile installers and finishers",47-2040,Summary,47,2040
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Carpet installers,47-2041,Line item,47,2041
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,"Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,47,2042
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Floor sanders and finishers,47-2043,Line item,47,2043
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Tile and stone setters,47-2044,Line item,47,2044
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,"Cement masons, concrete finishers, and terrazzo workers",47-2050,Summary,47,2050
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Cement masons and concrete finishers,47-2051,Line item,47,2051
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Terrazzo workers and finishers,47-2053,Line item,47,2053
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Construction laborers,47-2061,Line item,47,2061
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Construction equipment operators,47-2070,Summary,47,2070
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,"Paving, surfacing, and tamping equipment operators",47-2071,Line item,47,2071
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Pile driver operators,47-2072,Line item,47,2072
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Operating engineers and other construction equipment operators,47-2073,Line item,47,2073
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,"Drywall installers, ceiling tile installers, and tapers",47-2080,Summary,47,2080
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Drywall and ceiling tile installers,47-2081,Line item,47,2081
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Tapers,47-2082,Line item,47,2082
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Electricians,47-2111,Line item,47,2111
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Glaziers,47-2121,Line item,47,2121
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Insulation workers,47-2130,Summary,47,2130
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,"Insulation workers, floor, ceiling, and wall",47-2131,Line item,47,2131
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,"Insulation workers, mechanical",47-2132,Line item,47,2132
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Painters and paperhangers,47-2140,Summary,47,2140
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,"Painters, construction and maintenance",47-2141,Line item,47,2141
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Paperhangers,47-2142,Line item,47,2142
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Summary,47,2150
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Pipelayers,47-2151,Line item,47,2151
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,"Plumbers, pipefitters, and steamfitters",47-2152,Line item,47,2152
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Plasterers and stucco masons,47-2161,Line item,47,2161
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Reinforcing iron and rebar workers,47-2171,Line item,47,2171
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Roofers,47-2181,Line item,47,2181
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Sheet metal workers,47-2211,Line item,47,2211
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Structural iron and steel workers,47-2221,Line item,47,2221
47-0000,Construction and extraction occupations,Construction trades workers,47-2000,Solar photovoltaic installers,47-2231,Line item,47,2231
47-0000,Construction and extraction occupations,"Helpers, construction trades",47-3000,"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,47,3011
47-0000,Construction and extraction occupations,"Helpers, construction trades",47-3000,Helpers--carpenters,47-3012,Line item,47,3012
47-0000,Construction and extraction occupations,"Helpers, construction trades",47-3000,Helpers--electricians,47-3013,Line item,47,3013
47-0000,Construction and extraction occupations,"Helpers, construction trades",47-3000,"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,47,3014
47-0000,Construction and extraction occupations,"Helpers, construction trades",47-3000,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,47,3015
47-0000,Construction and extraction occupations,"Helpers, construction trades",47-3000,Helpers--roofers,47-3016,Line item,47,3016
47-0000,Construction and extraction occupations,"Helpers, construction trades",47-3000,"Helpers, construction trades, all other",47-3019,Line item,47,3019
47-0000,Construction and extraction occupations,Supervisors of construction and extraction workers,47-1000,First-line supervisors of construction trades and extraction workers,47-1011,Line item,47,1011
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,Drafters,17-3010,Summary,17,3010
